!alldata,,,,,,,,,,,,,
Symantec survey - May 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. What is your title?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",535,100.00%,,,,,,,,,,,
Vice President or Director,0,0.00%,,,,,,,,,,,
Manager,0,0.00%,,,,,,,,,,,
Individual contributor,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2. How many full-time employees does your company have?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
19-Jan,226,42.50%,,,,,,,,,,,
20-99,204,38.40%,,,,,,,,,,,
100-500,102,19.20%,,,,,,,,,,,
More than 500,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"14,506.00",,,,,,,,,,,,
Average,27.3,,,,,,,,,,,,
StdDev,36.4,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3. What is your gender?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Male,272,52.00%,,,,,,,,,,,
Female,251,48.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4. What is your age?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Under 18,0,0.00%,,,,,,,,,,,
18-34,114,21.40%,,,,,,,,,,,
35-49,185,34.80%,,,,,,,,,,,
50-64,180,33.80%,,,,,,,,,,,
Over 64,53,10.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"17,527.00",,,,,,,,,,,,
Average,36.6,,,,,,,,,,,,
StdDev,12.3,,,,,,,,,,,,
Max,50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5. In which state is your company headquartered?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Alabama,5,0.90%,,,,,,,,,,,
Alaska,0,0.00%,,,,,,,,,,,
Arizona,18,3.40%,,,,,,,,,,,
Arkansas,1,0.20%,,,,,,,,,,,
California,73,13.70%,,,,,,,,,,,
Colorado,7,1.30%,,,,,,,,,,,
Connecticut,8,1.50%,,,,,,,,,,,
Delaware,1,0.20%,,,,,,,,,,,
Florida,47,8.80%,,,,,,,,,,,
Georgia,15,2.80%,,,,,,,,,,,
Hawaii,2,0.40%,,,,,,,,,,,
Idaho,5,0.90%,,,,,,,,,,,
Illinois,30,5.60%,,,,,,,,,,,
Indiana,11,2.10%,,,,,,,,,,,
Iowa,2,0.40%,,,,,,,,,,,
Kansas,4,0.80%,,,,,,,,,,,
Kentucky,4,0.80%,,,,,,,,,,,
Louisiana,4,0.80%,,,,,,,,,,,
Maine,0,0.00%,,,,,,,,,,,
Maryland,5,0.90%,,,,,,,,,,,
Massachusetts,12,2.30%,,,,,,,,,,,
Michigan,9,1.70%,,,,,,,,,,,
Minnesota,1,0.20%,,,,,,,,,,,
Mississippi,3,0.60%,,,,,,,,,,,
Missouri,12,2.30%,,,,,,,,,,,
Montana,1,0.20%,,,,,,,,,,,
Nebraska,0,0.00%,,,,,,,,,,,
Nevada,1,0.20%,,,,,,,,,,,
New Hampshire,0,0.00%,,,,,,,,,,,
New Jersey,27,5.10%,,,,,,,,,,,
New Mexico,2,0.40%,,,,,,,,,,,
New York,49,9.20%,,,,,,,,,,,
North Carolina,20,3.80%,,,,,,,,,,,
North Dakota,3,0.60%,,,,,,,,,,,
