2014revenue_ng,,,,,,,,,,,,,
Symantec survey - May 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. What is your title?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",198,100.00%,,,,,,,,,,,
Vice President or Director,0,0.00%,,,,,,,,,,,
Manager,0,0.00%,,,,,,,,,,,
Individual contributor,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2. How many full-time employees does your company have?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
19-Jan,122,62.60%,,,,,,,,,,,
20-99,50,25.60%,,,,,,,,,,,
100-500,23,11.80%,,,,,,,,,,,
More than 500,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"3,422.00",,,,,,,,,,,,
Average,17.5,,,,,,,,,,,,
StdDev,31.2,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3. What is your gender?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Male,97,50.30%,,,,,,,,,,,
Female,96,49.70%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4. What is your age?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Under 18,0,0.00%,,,,,,,,,,,
18-34,27,13.90%,,,,,,,,,,,
35-49,57,29.20%,,,,,,,,,,,
50-64,78,40.00%,,,,,,,,,,,
Over 64,33,16.90%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"6,381.00",,,,,,,,,,,,
Average,39.4,,,,,,,,,,,,
StdDev,11.7,,,,,,,,,,,,
Max,50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5. In which state is your company headquartered?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Alabama,0,0.00%,,,,,,,,,,,
Alaska,0,0.00%,,,,,,,,,,,
Arizona,7,3.60%,,,,,,,,,,,
Arkansas,0,0.00%,,,,,,,,,,,
California,28,14.20%,,,,,,,,,,,
Colorado,2,1.00%,,,,,,,,,,,
Connecticut,4,2.00%,,,,,,,,,,,
Delaware,0,0.00%,,,,,,,,,,,
Florida,20,10.20%,,,,,,,,,,,
Georgia,4,2.00%,,,,,,,,,,,
Hawaii,1,0.50%,,,,,,,,,,,
Idaho,2,1.00%,,,,,,,,,,,
Illinois,13,6.60%,,,,,,,,,,,
Indiana,3,1.50%,,,,,,,,,,,
Iowa,2,1.00%,,,,,,,,,,,
Kansas,1,0.50%,,,,,,,,,,,
Kentucky,2,1.00%,,,,,,,,,,,
Louisiana,1,0.50%,,,,,,,,,,,
Maine,0,0.00%,,,,,,,,,,,
Maryland,2,1.00%,,,,,,,,,,,
Massachusetts,3,1.50%,,,,,,,,,,,
Michigan,4,2.00%,,,,,,,,,,,
Minnesota,1,0.50%,,,,,,,,,,,
Mississippi,1,0.50%,,,,,,,,,,,
Missouri,7,3.60%,,,,,,,,,,,
Montana,0,0.00%,,,,,,,,,,,
Nebraska,0,0.00%,,,,,,,,,,,
Nevada,1,0.50%,,,,,,,,,,,
New Hampshire,0,0.00%,,,,,,,,,,,
New Jersey,10,5.10%,,,,,,,,,,,
New Mexico,1,0.50%,,,,,,,,,,,
New York,16,8.10%,,,,,,,,,,,
North Carolina,6,3.10%,,,,,,,,,,,
North Dakota,1,0.50%,,,,,,,,,,,
Ohio,6,3.10%,,,,,,,,,,,
Oklahoma,0,0.00%,,,,,,,,,,,
Oregon,6,3.10%,,,,,,,,,,,
Pennsylvania,14,7.10%,,,,,,,,,,,
Rhode Island,0,0.00%,,,,,,,,,,,
South Carolina,1,0.50%,,,,,,,,,,,
South Dakota,0,0.00%,,,,,,,,,,,
Tennessee,2,1.00%,,,,,,,,,,,
Texas,13,6.60%,,,,,,,,,,,
Utah,1,0.50%,,,,,,,,,,,
Vermont,0,0.00%,,,,,,,,,,,
Virginia,3,1.50%,,,,,,,,,,,
Washington,4,2.00%,,,,,,,,,,,
West Virginia,1,0.50%,,,,,,,,,,,
Wisconsin,2,1.00%,,,,,,,,,,,
Wyoming,1,0.50%,,,,,,,,,,,
