age_y,,,,,,,,,,,,,
Symantec survey - May 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. What is your title?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",113,100.00%,,,,,,,,,,,
Vice President or Director,0,0.00%,,,,,,,,,,,
Manager,0,0.00%,,,,,,,,,,,
Individual contributor,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2. How many full-time employees does your company have?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
19-Jan,16,14.20%,,,,,,,,,,,
20-99,61,54.00%,,,,,,,,,,,
100-500,36,31.90%,,,,,,,,,,,
More than 500,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"4,836.00",,,,,,,,,,,,
Average,42.8,,,,,,,,,,,,
StdDev,39.6,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3. What is your gender?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Male,52,46.90%,,,,,,,,,,,
Female,59,53.20%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4. What is your age?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Under 18,0,0.00%,,,,,,,,,,,
18-34,114,100.00%,,,,,,,,,,,
35-49,0,0.00%,,,,,,,,,,,
50-64,0,0.00%,,,,,,,,,,,
Over 64,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"2,052.00",,,,,,,,,,,,
Average,18,,,,,,,,,,,,
Max,18,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5. In which state is your company headquartered?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Alabama,5,4.40%,,,,,,,,,,,
Alaska,0,0.00%,,,,,,,,,,,
Arizona,2,1.80%,,,,,,,,,,,
Arkansas,0,0.00%,,,,,,,,,,,
California,16,14.00%,,,,,,,,,,,
Colorado,3,2.60%,,,,,,,,,,,
Connecticut,2,1.80%,,,,,,,,,,,
Delaware,0,0.00%,,,,,,,,,,,
Florida,7,6.10%,,,,,,,,,,,
Georgia,5,4.40%,,,,,,,,,,,
Hawaii,1,0.90%,,,,,,,,,,,
Idaho,2,1.80%,,,,,,,,,,,
Illinois,3,2.60%,,,,,,,,,,,
Indiana,3,2.60%,,,,,,,,,,,
Iowa,1,0.90%,,,,,,,,,,,
Kansas,1,0.90%,,,,,,,,,,,
Kentucky,0,0.00%,,,,,,,,,,,
Louisiana,0,0.00%,,,,,,,,,,,
Maine,0,0.00%,,,,,,,,,,,
Maryland,2,1.80%,,,,,,,,,,,
Massachusetts,2,1.80%,,,,,,,,,,,
Michigan,1,0.90%,,,,,,,,,,,
Minnesota,0,0.00%,,,,,,,,,,,
Mississippi,2,1.80%,,,,,,,,,,,
Missouri,0,0.00%,,,,,,,,,,,
Montana,0,0.00%,,,,,,,,,,,
Nebraska,0,0.00%,,,,,,,,,,,
Nevada,0,0.00%,,,,,,,,,,,
