businessage_m,,,,,,,,,,,,,
Symantec survey - May 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. What is your title?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",147,100.00%,,,,,,,,,,,
Vice President or Director,0,0.00%,,,,,,,,,,,
Manager,0,0.00%,,,,,,,,,,,
Individual contributor,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2. How many full-time employees does your company have?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
19-Jan,44,30.10%,,,,,,,,,,,
20-99,62,42.50%,,,,,,,,,,,
100-500,40,27.40%,,,,,,,,,,,
More than 500,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"5,284.00",,,,,,,,,,,,
Average,36.2,,,,,,,,,,,,
StdDev,40,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3. What is your gender?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Male,72,50.70%,,,,,,,,,,,
Female,70,49.30%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4. What is your age?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Under 18,0,0.00%,,,,,,,,,,,
18-34,39,26.90%,,,,,,,,,,,
35-49,65,44.80%,,,,,,,,,,,
50-64,29,20.00%,,,,,,,,,,,
Over 64,12,8.30%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"4,427.00",,,,,,,,,,,,
Average,33.3,,,,,,,,,,,,
StdDev,11.4,,,,,,,,,,,,
Max,50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5. In which state is your company headquartered?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Alabama,2,1.40%,,,,,,,,,,,
Alaska,0,0.00%,,,,,,,,,,,
Arizona,6,4.10%,,,,,,,,,,,
Arkansas,1,0.70%,,,,,,,,,,,
California,17,11.70%,,,,,,,,,,,
Colorado,3,2.10%,,,,,,,,,,,
Connecticut,2,1.40%,,,,,,,,,,,
Delaware,0,0.00%,,,,,,,,,,,
Florida,14,9.70%,,,,,,,,,,,
Georgia,7,4.80%,,,,,,,,,,,
Hawaii,0,0.00%,,,,,,,,,,,
Idaho,2,1.40%,,,,,,,,,,,
Illinois,9,6.20%,,,,,,,,,,,
Indiana,4,2.80%,,,,,,,,,,,
Iowa,1,0.70%,,,,,,,,,,,
Kansas,1,0.70%,,,,,,,,,,,
Kentucky,1,0.70%,,,,,,,,,,,
Louisiana,1,0.70%,,,,,,,,,,,
Maine,0,0.00%,,,,,,,,,,,
Maryland,2,1.40%,,,,,,,,,,,
Massachusetts,2,1.40%,,,,,,,,,,,
Michigan,2,1.40%,,,,,,,,,,,
Minnesota,0,0.00%,,,,,,,,,,,
Mississippi,1,0.70%,,,,,,,,,,,
Missouri,3,2.10%,,,,,,,,,,,
Montana,1,0.70%,,,,,,,,,,,
Nebraska,0,0.00%,,,,,,,,,,,
Nevada,0,0.00%,,,,,,,,,,,
New Hampshire,0,0.00%,,,,,,,,,,,
New Jersey,8,5.50%,,,,,,,,,,,
New Mexico,0,0.00%,,,,,,,,,,,
New York,10,6.90%,,,,,,,,,,,
North Carolina,8,5.50%,,,,,,,,,,,
North Dakota,1,0.70%,,,,,,,,,,,
Ohio,2,1.40%,,,,,,,,,,,
Oklahoma,1,0.70%,,,,,,,,,,,
Oregon,1,0.70%,,,,,,,,,,,
Pennsylvania,10,6.90%,,,,,,,,,,,
Rhode Island,0,0.00%,,,,,,,,,,,
South Carolina,1,0.70%,,,,,,,,,,,
South Dakota,0,0.00%,,,,,,,,,,,
Tennessee,1,0.70%,,,,,,,,,,,
Texas,14,9.70%,,,,,,,,,,,
Utah,0,0.00%,,,,,,,,,,,
Vermont,0,0.00%,,,,,,,,,,,
Virginia,2,1.40%,,,,,,,,,,,
Washington,2,1.40%,,,,,,,,,,,
West Virginia,0,0.00%,,,,,,,,,,,
Wisconsin,1,0.70%,,,,,,,,,,,
Wyoming,1,0.70%,,,,,,,,,,,
District of Columbia,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6. Which best describes your industry?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Accommodation & food service,4,2.80%,,,,,,,,,,,
"Administrative, support, waste management & remediation service",3,2.10%,,,,,,,,,,,
"Arts, entertainment & recreation",11,7.60%,,,,,,,,,,,
Construction,10,6.90%,,,,,,,,,,,
Educational services,9,6.30%,,,,,,,,,,,
Finance & insurance,5,3.50%,,,,,,,,,,,
Health care & social assistance,8,5.60%,,,,,,,,,,,
Information technology,9,6.30%,,,,,,,,,,,
"Local, state or federal government (any kind)",0,0.00%,,,,,,,,,,,
Management of companies & enterprises,1,0.70%,,,,,,,,,,,
Manufacturing,9,6.30%,,,,,,,,,,,
Mining,0,0.00%,,,,,,,,,,,
Other services (except public administration),13,9.00%,,,,,,,,,,,
Professional services,24,16.70%,,,,,,,,,,,
Scientific & technical services,4,2.80%,,,,,,,,,,,
"Real estate, rental & leasing",7,4.90%,,,,,,,,,,,
Retail trade,14,9.70%,,,,,,,,,,,
Transportation & warehousing,5,3.50%,,,,,,,,,,,
Utilities,0,0.00%,,,,,,,,,,,
Wholesale trade,8,5.60%,,,,,,,,,,,
Not currently working,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7. How long has your company been in business?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Less than one year,0,0.00%,,,,,,,,,,,
One to five years,0,0.00%,,,,,,,,,,,
Six to 10 years,147,100.00%,,,,,,,,,,,
More than 10 years,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"8. What is your revenue outlook for 2014, compared to 2013?",,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Up by 10% or more,58,39.50%,,,,,,,,,,,
"Up, by less than 10%",45,30.60%,,,,,,,,,,,
Same as 2013,31,21.10%,,,,,,,,,,,
"Down, by less than 10%",10,6.80%,,,,,,,,,,,
Down by more than 10%,3,2.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"9. Roughly what percent of your work time do you spend conducting business via a smartphone (e.g., an iPhone or Samsung Galaxy) and/or tablet (e.g., an iPad)?",,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
None,13,8.90%,,,,,,,,,,,
Up to 25%,49,33.60%,,,,,,,,,,,
25% to 49%,37,25.30%,,,,,,,,,,,
50% to 74%,36,24.70%,,,,,,,,,,,
75% to 99%,9,6.20%,,,,,,,,,,,
100% - I only do business on my smartphone and/or tablet,2,1.40%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"3,600.00",,,,,,,,,,,,
Average,42.9,,,,,,,,,,,,
StdDev,18.7,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10. Which of the following transactions does your business handle on smartphones and/or tablets? (select all that apply),,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Returns / exchanges,46,31.30%,,,,,,,,,,,
Capture customer contact information,94,64.00%,,,,,,,,,,,
Email receipts,97,66.00%,,,,,,,,,,,
Check inventory availability,65,44.20%,,,,,,,,,,,
None of the above,23,15.70%,,,,,,,,,,,
I don’t know,0,0.00%,,,,,,,,,,,
Other (please describe),9,6.10%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"11. On a scale of 1 (not at all important) to 5 (very important), please rate each of these items:",,,,,,,,,,,,,
,1 (not at all important),,2,,3 (somewhat important),,4,,5 (very important),,Responses,,
,%,#,%,#,%,#,%,#,%,#,#,,
Smartphones and tablets for my business,8.90%,13,4.10%,6,15.80%,23,25.30%,37,45.90%,67,146,,
Virus and malware protection for my business,3.40%,5,5.50%,8,12.40%,18,23.40%,34,55.20%,80,145,,
Virus and malware protection for my smartphones and/or tablets,7.60%,11,3.50%,5,11.10%,16,34.00%,49,43.80%,63,144,,
Keeping data safe on smartphones and tablets,6.90%,10,2.80%,4,11.10%,16,25.70%,37,53.50%,77,144,,
Preventing smartphones and tablets from being lost or stolen,7.00%,10,3.50%,5,10.50%,15,24.50%,35,54.50%,78,143,,
Restricting employees' personal use of business smartphones and tablets,17.40%,25,9.00%,13,15.30%,22,29.90%,43,28.50%,41,144,,
Making my team more productive and saving costs by using more smartphones and tablets,11.10%,16,5.60%,8,18.80%,27,31.90%,46,32.60%,47,144,,
The information security policies of a vendor (such as a CPA or payroll service provider) as a factor in choosing / working with that vendor,10.60%,15,7.70%,11,14.80%,21,31.70%,45,35.20%,50,142,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
