businessage_o10,,,,,,,,,,,,,
Symantec survey - May 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. What is your title?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",255,100.00%,,,,,,,,,,,
Vice President or Director,0,0.00%,,,,,,,,,,,
Manager,0,0.00%,,,,,,,,,,,
Individual contributor,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2. How many full-time employees does your company have?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
19-Jan,121,47.80%,,,,,,,,,,,
20-99,86,34.00%,,,,,,,,,,,
100-500,46,18.20%,,,,,,,,,,,
More than 500,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"6,441.00",,,,,,,,,,,,
Average,25.5,,,,,,,,,,,,
StdDev,36.1,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3. What is your gender?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Male,147,58.60%,,,,,,,,,,,
Female,104,41.40%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4. What is your age?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Under 18,0,0.00%,,,,,,,,,,,
18-34,20,7.80%,,,,,,,,,,,
35-49,79,31.00%,,,,,,,,,,,
50-64,119,46.70%,,,,,,,,,,,
Over 64,37,14.50%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"9,075.00",,,,,,,,,,,,
Average,41.6,,,,,,,,,,,,
StdDev,10.3,,,,,,,,,,,,
Max,50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5. In which state is your company headquartered?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Alabama,0,0.00%,,,,,,,,,,,
Alaska,0,0.00%,,,,,,,,,,,
Arizona,7,2.70%,,,,,,,,,,,
Arkansas,0,0.00%,,,,,,,,,,,
California,40,15.60%,,,,,,,,,,,
Colorado,3,1.20%,,,,,,,,,,,
Connecticut,5,2.00%,,,,,,,,,,,
Delaware,1,0.40%,,,,,,,,,,,
Florida,24,9.40%,,,,,,,,,,,
Georgia,3,1.20%,,,,,,,,,,,
Hawaii,1,0.40%,,,,,,,,,,,
Idaho,0,0.00%,,,,,,,,,,,
Illinois,17,6.60%,,,,,,,,,,,
Indiana,2,0.80%,,,,,,,,,,,
Iowa,0,0.00%,,,,,,,,,,,
Kansas,1,0.40%,,,,,,,,,,,
Kentucky,1,0.40%,,,,,,,,,,,
Louisiana,2,0.80%,,,,,,,,,,,
Maine,0,0.00%,,,,,,,,,,,
Maryland,3,1.20%,,,,,,,,,,,
Massachusetts,6,2.30%,,,,,,,,,,,
Michigan,6,2.30%,,,,,,,,,,,
Minnesota,0,0.00%,,,,,,,,,,,
Mississippi,0,0.00%,,,,,,,,,,,
Missouri,6,2.30%,,,,,,,,,,,
Montana,0,0.00%,,,,,,,,,,,
Nebraska,0,0.00%,,,,,,,,,,,
Nevada,1,0.40%,,,,,,,,,,,
New Hampshire,0,0.00%,,,,,,,,,,,
New Jersey,13,5.10%,,,,,,,,,,,
New Mexico,2,0.80%,,,,,,,,,,,
New York,30,11.70%,,,,,,,,,,,
North Carolina,10,3.90%,,,,,,,,,,,
North Dakota,1,0.40%,,,,,,,,,,,
Ohio,8,3.10%,,,,,,,,,,,
Oklahoma,2,0.80%,,,,,,,,,,,
Oregon,9,3.50%,,,,,,,,,,,
Pennsylvania,12,4.70%,,,,,,,,,,,
Rhode Island,1,0.40%,,,,,,,,,,,
South Carolina,3,1.20%,,,,,,,,,,,
South Dakota,0,0.00%,,,,,,,,,,,
Tennessee,2,0.80%,,,,,,,,,,,
Texas,18,7.00%,,,,,,,,,,,
Utah,3,1.20%,,,,,,,,,,,
Vermont,0,0.00%,,,,,,,,,,,
Virginia,5,2.00%,,,,,,,,,,,
Washington,5,2.00%,,,,,,,,,,,
West Virginia,1,0.40%,,,,,,,,,,,
Wisconsin,2,0.80%,,,,,,,,,,,
Wyoming,0,0.00%,,,,,,,,,,,
District of Columbia,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6. Which best describes your industry?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Accommodation & food service,6,2.40%,,,,,,,,,,,
"Administrative, support, waste management & remediation service",1,0.40%,,,,,,,,,,,
"Arts, entertainment & recreation",19,7.70%,,,,,,,,,,,
Construction,25,10.10%,,,,,,,,,,,
Educational services,9,3.60%,,,,,,,,,,,
Finance & insurance,17,6.90%,,,,,,,,,,,
Health care & social assistance,13,5.20%,,,,,,,,,,,
Information technology,14,5.70%,,,,,,,,,,,
"Local, state or federal government (any kind)",0,0.00%,,,,,,,,,,,
Management of companies & enterprises,2,0.80%,,,,,,,,,,,
Manufacturing,12,4.80%,,,,,,,,,,,
Mining,0,0.00%,,,,,,,,,,,
