businessage_u5,,,,,,,,,,,,,
Symantec survey - May 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. What is your title?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",129,100.00%,,,,,,,,,,,
Vice President or Director,0,0.00%,,,,,,,,,,,
Manager,0,0.00%,,,,,,,,,,,
Individual contributor,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2. How many full-time employees does your company have?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
19-Jan,60,46.50%,,,,,,,,,,,
20-99,54,41.90%,,,,,,,,,,,
100-500,15,11.60%,,,,,,,,,,,
More than 500,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"2,640.00",,,,,,,,,,,,
Average,20.5,,,,,,,,,,,,
StdDev,30.2,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3. What is your gender?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Male,51,40.20%,,,,,,,,,,,
Female,76,59.80%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4. What is your age?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Under 18,0,0.00%,,,,,,,,,,,
18-34,55,43.00%,,,,,,,,,,,
35-49,38,29.70%,,,,,,,,,,,
50-64,31,24.20%,,,,,,,,,,,
Over 64,4,3.10%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"3,870.00",,,,,,,,,,,,
Average,31.2,,,,,,,,,,,,
StdDev,13,,,,,,,,,,,,
Max,50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5. In which state is your company headquartered?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Alabama,3,2.30%,,,,,,,,,,,
Alaska,0,0.00%,,,,,,,,,,,
Arizona,5,3.90%,,,,,,,,,,,
Arkansas,0,0.00%,,,,,,,,,,,
California,16,12.50%,,,,,,,,,,,
Colorado,1,0.80%,,,,,,,,,,,
Connecticut,1,0.80%,,,,,,,,,,,
Delaware,0,0.00%,,,,,,,,,,,
Florida,9,7.00%,,,,,,,,,,,
Georgia,5,3.90%,,,,,,,,,,,
Hawaii,1,0.80%,,,,,,,,,,,
Idaho,3,2.30%,,,,,,,,,,,
Illinois,4,3.10%,,,,,,,,,,,
Indiana,4,3.10%,,,,,,,,,,,
Iowa,1,0.80%,,,,,,,,,,,
Kansas,2,1.60%,,,,,,,,,,,
Kentucky,2,1.60%,,,,,,,,,,,
Louisiana,1,0.80%,,,,,,,,,,,
Maine,0,0.00%,,,,,,,,,,,
Maryland,0,0.00%,,,,,,,,,,,
Massachusetts,3,2.30%,,,,,,,,,,,
Michigan,1,0.80%,,,,,,,,,,,
Minnesota,1,0.80%,,,,,,,,,,,
Mississippi,2,1.60%,,,,,,,,,,,
Missouri,3,2.30%,,,,,,,,,,,
Montana,0,0.00%,,,,,,,,,,,
Nebraska,0,0.00%,,,,,,,,,,,
Nevada,0,0.00%,,,,,,,,,,,
New Hampshire,0,0.00%,,,,,,,,,,,
New Jersey,6,4.70%,,,,,,,,,,,
New Mexico,0,0.00%,,,,,,,,,,,
New York,9,7.00%,,,,,,,,,,,
North Carolina,2,1.60%,,,,,,,,,,,
North Dakota,0,0.00%,,,,,,,,,,,
Ohio,7,5.50%,,,,,,,,,,,
Oklahoma,0,0.00%,,,,,,,,,,,
Oregon,5,3.90%,,,,,,,,,,,
Pennsylvania,8,6.30%,,,,,,,,,,,
Rhode Island,0,0.00%,,,,,,,,,,,
South Carolina,0,0.00%,,,,,,,,,,,
South Dakota,0,0.00%,,,,,,,,,,,
Tennessee,3,2.30%,,,,,,,,,,,
Texas,12,9.40%,,,,,,,,,,,
Utah,1,0.80%,,,,,,,,,,,
Vermont,0,0.00%,,,,,,,,,,,
Virginia,3,2.30%,,,,,,,,,,,
Washington,2,1.60%,,,,,,,,,,,
West Virginia,1,0.80%,,,,,,,,,,,
Wisconsin,0,0.00%,,,,,,,,,,,
Wyoming,0,0.00%,,,,,,,,,,,
District of Columbia,1,0.80%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6. Which best describes your industry?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Accommodation & food service,7,5.60%,,,,,,,,,,,
"Administrative, support, waste management & remediation service",4,3.20%,,,,,,,,,,,
"Arts, entertainment & recreation",11,8.80%,,,,,,,,,,,
Construction,6,4.80%,,,,,,,,,,,
Educational services,8,6.40%,,,,,,,,,,,
Finance & insurance,8,6.40%,,,,,,,,,,,
Health care & social assistance,7,5.60%,,,,,,,,,,,
Information technology,8,6.40%,,,,,,,,,,,
"Local, state or federal government (any kind)",0,0.00%,,,,,,,,,,,
Management of companies & enterprises,3,2.40%,,,,,,,,,,,
Manufacturing,5,4.00%,,,,,,,,,,,
Mining,0,0.00%,,,,,,,,,,,
Other services (except public administration),16,12.80%,,,,,,,,,,,
Professional services,15,12.00%,,,,,,,,,,,
Scientific & technical services,1,0.80%,,,,,,,,,,,
"Real estate, rental & leasing",3,2.40%,,,,,,,,,,,
Retail trade,17,13.60%,,,,,,,,,,,
Transportation & warehousing,2,1.60%,,,,,,,,,,,
Utilities,1,0.80%,,,,,,,,,,,
Wholesale trade,3,2.40%,,,,,,,,,,,
Not currently working,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
