gender_m,,,,,,,,,,,,,
Symantec survey - May 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. What is your title?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",272,100.00%,,,,,,,,,,,
Vice President or Director,0,0.00%,,,,,,,,,,,
Manager,0,0.00%,,,,,,,,,,,
Individual contributor,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2. How many full-time employees does your company have?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
19-Jan,106,39.10%,,,,,,,,,,,
20-99,112,41.30%,,,,,,,,,,,
100-500,53,19.60%,,,,,,,,,,,
More than 500,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"7,646.00",,,,,,,,,,,,
Average,28.2,,,,,,,,,,,,
StdDev,36.4,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3. What is your gender?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Male,272,100.00%,,,,,,,,,,,
Female,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4. What is your age?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Under 18,0,0.00%,,,,,,,,,,,
18-34,52,19.10%,,,,,,,,,,,
35-49,93,34.20%,,,,,,,,,,,
50-64,96,35.30%,,,,,,,,,,,
Over 64,31,11.40%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"8,991.00",,,,,,,,,,,,
Average,37.3,,,,,,,,,,,,
StdDev,12.1,,,,,,,,,,,,
Max,50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5. In which state is your company headquartered?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Alabama,0,0.00%,,,,,,,,,,,
Alaska,0,0.00%,,,,,,,,,,,
Arizona,10,3.70%,,,,,,,,,,,
Arkansas,1,0.40%,,,,,,,,,,,
California,36,13.30%,,,,,,,,,,,
Colorado,1,0.40%,,,,,,,,,,,
Connecticut,5,1.90%,,,,,,,,,,,
Delaware,1,0.40%,,,,,,,,,,,
Florida,20,7.40%,,,,,,,,,,,
Georgia,9,3.30%,,,,,,,,,,,
