headcount_l,,,,,,,,,,,,,
Symantec survey - May 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. What is your title?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",102,100.00%,,,,,,,,,,,
Vice President or Director,0,0.00%,,,,,,,,,,,
Manager,0,0.00%,,,,,,,,,,,
Individual contributor,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2. How many full-time employees does your company have?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
19-Jan,0,0.00%,,,,,,,,,,,
20-99,0,0.00%,,,,,,,,,,,
100-500,102,100.00%,,,,,,,,,,,
More than 500,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"10,200.00",,,,,,,,,,,,
Average,100,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3. What is your gender?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Male,53,53.00%,,,,,,,,,,,
Female,47,47.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4. What is your age?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Under 18,0,0.00%,,,,,,,,,,,
18-34,36,35.60%,,,,,,,,,,,
35-49,43,42.60%,,,,,,,,,,,
50-64,17,16.80%,,,,,,,,,,,
Over 64,5,5.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"3,003.00",,,,,,,,,,,,
Average,31.3,,,,,,,,,,,,
StdDev,11.6,,,,,,,,,,,,
Max,50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5. In which state is your company headquartered?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Alabama,1,1.00%,,,,,,,,,,,
Alaska,0,0.00%,,,,,,,,,,,
Arizona,5,4.90%,,,,,,,,,,,
Arkansas,0,0.00%,,,,,,,,,,,
California,17,16.70%,,,,,,,,,,,
Colorado,2,2.00%,,,,,,,,,,,
Connecticut,2,2.00%,,,,,,,,,,,
Delaware,0,0.00%,,,,,,,,,,,
Florida,11,10.80%,,,,,,,,,,,
Georgia,4,3.90%,,,,,,,,,,,
Hawaii,1,1.00%,,,,,,,,,,,
Idaho,1,1.00%,,,,,,,,,,,
Illinois,10,9.80%,,,,,,,,,,,
Indiana,2,2.00%,,,,,,,,,,,
Iowa,0,0.00%,,,,,,,,,,,
Kansas,0,0.00%,,,,,,,,,,,
Kentucky,0,0.00%,,,,,,,,,,,
Louisiana,1,1.00%,,,,,,,,,,,
Maine,0,0.00%,,,,,,,,,,,
Maryland,1,1.00%,,,,,,,,,,,
Massachusetts,2,2.00%,,,,,,,,,,,
Michigan,2,2.00%,,,,,,,,,,,
Minnesota,0,0.00%,,,,,,,,,,,
Mississippi,0,0.00%,,,,,,,,,,,
Missouri,0,0.00%,,,,,,,,,,,
Montana,0,0.00%,,,,,,,,,,,
Nebraska,0,0.00%,,,,,,,,,,,
Nevada,1,1.00%,,,,,,,,,,,
New Hampshire,0,0.00%,,,,,,,,,,,
New Jersey,7,6.90%,,,,,,,,,,,
New Mexico,0,0.00%,,,,,,,,,,,
New York,9,8.80%,,,,,,,,,,,
North Carolina,3,2.90%,,,,,,,,,,,
North Dakota,1,1.00%,,,,,,,,,,,
Ohio,2,2.00%,,,,,,,,,,,
Oklahoma,1,1.00%,,,,,,,,,,,
Oregon,1,1.00%,,,,,,,,,,,
Pennsylvania,3,2.90%,,,,,,,,,,,
Rhode Island,0,0.00%,,,,,,,,,,,
South Carolina,0,0.00%,,,,,,,,,,,
South Dakota,0,0.00%,,,,,,,,,,,
Tennessee,0,0.00%,,,,,,,,,,,
Texas,8,7.80%,,,,,,,,,,,
Utah,1,1.00%,,,,,,,,,,,
Vermont,0,0.00%,,,,,,,,,,,
Virginia,1,1.00%,,,,,,,,,,,
Washington,2,2.00%,,,,,,,,,,,
West Virginia,0,0.00%,,,,,,,,,,,
Wisconsin,0,0.00%,,,,,,,,,,,
Wyoming,0,0.00%,,,,,,,,,,,
District of Columbia,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6. Which best describes your industry?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Accommodation & food service,2,2.00%,,,,,,,,,,,
"Administrative, support, waste management & remediation service",2,2.00%,,,,,,,,,,,
"Arts, entertainment & recreation",3,3.00%,,,,,,,,,,,
Construction,5,5.10%,,,,,,,,,,,
Educational services,5,5.10%,,,,,,,,,,,
Finance & insurance,13,13.10%,,,,,,,,,,,
Health care & social assistance,8,8.10%,,,,,,,,,,,
Information technology,10,10.10%,,,,,,,,,,,
"Local, state or federal government (any kind)",0,0.00%,,,,,,,,,,,
Management of companies & enterprises,2,2.00%,,,,,,,,,,,
Manufacturing,10,10.10%,,,,,,,,,,,
Mining,0,0.00%,,,,,,,,,,,
Other services (except public administration),7,7.10%,,,,,,,,,,,
Professional services,15,15.20%,,,,,,,,,,,
Scientific & technical services,3,3.00%,,,,,,,,,,,
"Real estate, rental & leasing",4,4.00%,,,,,,,,,,,
Retail trade,6,6.10%,,,,,,,,,,,
Transportation & warehousing,2,2.00%,,,,,,,,,,,
Utilities,0,0.00%,,,,,,,,,,,
Wholesale trade,2,2.00%,,,,,,,,,,,
Not currently working,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7. How long has your company been in business?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Less than one year,0,0.00%,,,,,,,,,,,
One to five years,15,14.90%,,,,,,,,,,,
Six to 10 years,40,39.60%,,,,,,,,,,,
More than 10 years,46,45.50%,,,,,,,,,,,
,,,,,,,,,,,,,
