,!alldata.csv,2014-06-29T14:36:39-07:00
,p/rank,n
1. What is your title?
Single
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",1.0,535
Vice President or Director,0.0,0
Manager,0.0,0
Individual contributor,0.0,0

2. How many full-time employees does your company have?
Single
19-Jan,0.424812030075188,226
20-99,0.38345864661654133,204
100-500,0.19172932330827067,102
More than 500,0.0,0

3. What is your gender?
Single
Male,0.5200764818355641,272
Female,0.47992351816443596,251

4. What is your age?
Single
Under 18,0.0,0
18-34,0.21428571428571427,114
35-49,0.34774436090225563,185
50-64,0.3383458646616541,180
Over 64,0.09962406015037593,53

5. In which state is your company headquartered?
Single
Alabama,0.009363295880149813,5
Alaska,0.0,0
Arizona,0.033707865168539325,18
Arkansas,0.0018726591760299626,1
California,0.13670411985018727,73
Colorado,0.013108614232209739,7
Connecticut,0.0149812734082397,8
Delaware,0.0018726591760299626,1
Florida,0.08801498127340825,47
Georgia,0.028089887640449437,15
Hawaii,0.003745318352059925,2
Idaho,0.009363295880149813,5
Illinois,0.056179775280898875,30
Indiana,0.020599250936329586,11
Iowa,0.003745318352059925,2
Kansas,0.00749063670411985,4
Kentucky,0.00749063670411985,4
Louisiana,0.00749063670411985,4
Maine,0.0,0
Maryland,0.009363295880149813,5
Massachusetts,0.02247191011235955,12
Michigan,0.016853932584269662,9
Minnesota,0.0018726591760299626,1
Mississippi,0.0056179775280898875,3
Missouri,0.02247191011235955,12
Montana,0.0018726591760299626,1
Nebraska,0.0,0
Nevada,0.0018726591760299626,1
New Hampshire,0.0,0
New Jersey,0.05056179775280899,27
New Mexico,0.003745318352059925,2
New York,0.09176029962546817,49
North Carolina,0.03745318352059925,20
North Dakota,0.0056179775280898875,3
Ohio,0.031835205992509365,17
Oklahoma,0.0056179775280898875,3
Oregon,0.028089887640449437,15
Pennsylvania,0.056179775280898875,30
Rhode Island,0.0018726591760299626,1
South Carolina,0.00749063670411985,4
South Dakota,0.0,0
Tennessee,0.011235955056179775,6
Texas,0.08239700374531835,44
Utah,0.00749063670411985,4
Vermont,0.0,0
Virginia,0.018726591760299626,10
Washington,0.016853932584269662,9
West Virginia,0.0056179775280898875,3
Wisconsin,0.00749063670411985,4
Wyoming,0.0018726591760299626,1
District of Columbia,0.0018726591760299626,1

6. Which best describes your industry?
Single
Accommodation & food service,0.034482758620689655,18
"Administrative, support, waste management & remediation service",0.01532567049808429,8
"Arts, entertainment & recreation",0.07854406130268199,41
Construction,0.08045977011494253,42
Educational services,0.04980842911877394,26
Finance & insurance,0.05747126436781609,30
Health care & social assistance,0.05363984674329502,28
Information technology,0.06130268199233716,32
"Local, state or federal government (any kind)",0.0,0
Management of companies & enterprises,0.011494252873563218,6
Manufacturing,0.04980842911877394,26
Mining,0.0,0
Other services (except public administration),0.10727969348659004,56
Professional services,0.15900383141762453,83
Scientific & technical services,0.017241379310344827,9
"Real estate, rental & leasing",0.05363984674329502,28
Retail trade,0.1111111111111111,58
Transportation & warehousing,0.017241379310344827,9
Utilities,0.009578544061302681,5
Wholesale trade,0.032567049808429116,17
Not currently working,0.0,0

7. How long has your company been in business?
Single
Less than one year,0.02443609022556391,13
One to five years,0.21804511278195488,116
Six to 10 years,0.27631578947368424,147
More than 10 years,0.48120300751879697,256

"8. What is your revenue outlook for 2014, compared to 2013?"
Single
Up by 10% or more,0.3587360594795539,193
"Up, by less than 10%",0.2695167286245353,145
Same as 2013,0.258364312267658,139
"Down, by less than 10%",0.05762081784386617,31
Down by more than 10%,0.055762081784386616,30

"9. Roughly what percent of your work time do you spend conducting business via a smartphone (e.g., an iPhone or Samsung Galaxy) and/or tablet (e.g., an iPad)?"
Single
None,0.21415270018621974,115
Up to 25%,0.35940409683426444,193
25% to 49%,0.1973929236499069,106
50% to 74%,0.1601489757914339,86
75% to 99%,0.055865921787709494,30
100% - I only do business on my smartphone and/or tablet,0.01303538175046555,7

10. Which of the following transactions does your business handle on smartphones and/or tablets? (select all that apply)
Single
Returns / exchanges,0.11888782358581017,124
Capture customer contact information,0.2483221476510067,259
Email receipts,0.25119846596356665,262
Check inventory availability,0.17641418983700863,184
None of the above,0.1629913710450623,170
I don’t know,0.0028763183125599234,3
Other (please describe),0.039309683604985615,41

"11. On a scale of 1 (not at all important) to 5 (very important), please rate each of these items:"
TopTwo
Smartphones and tablets for my business,0.5738317757009346,307
Virus and malware protection for my business,0.7490636704119851,400
Virus and malware protection for my smartphones and/or tablets,0.6560747663551402,351
Keeping data safe on smartphones and tablets,0.6924528301886792,367
Preventing smartphones and tablets from being lost or stolen,0.7156308851224106,380
Restricting employees' personal use of business smartphones and tablets,0.45300751879699247,241
Making my team more productive and saving costs by using more smartphones and tablets,0.5411985018726592,289
The information security policies of a vendor (such as a CPA or payroll service provider) as a factor in choosing / working with that vendor,0.5849056603773585,310

12. Do you provide smartphones or tablets to employees or contractors?
Single
"Yes, for use during working hours only",0.31784386617100374,171
"Yes, for employees / contractors to take home (personal use permitted)",0.22862453531598512,123
No,0.45353159851301117,244

13. What kinds of smartphones / tablets do you provide to employees or contractors? (select all that apply)
Single
iOS,0.3238095238095238,136
Android,0.4785714285714286,201
Windows,0.17142857142857143,72
"Other (e.g., BlackBerry)",0.02619047619047619,11

"15. On average, how many total devices (i.e., desktop computer / workstation, laptop / portable PC, smartphone, tablet) does each of your employees typically use on a daily basis for work purposes?"
Single
None,0.09851301115241635,53
One,0.3066914498141264,165
Two,0.35687732342007433,192
Three,0.14312267657992564,77
Four,0.027881040892193308,15
Five or more,0.06691449814126393,36

16.1 Please answer each of the following questions yes or no:::Do you feel that small businesses are more prone / vulnerable to attack from cybercriminals than mid-sized or large businesses are?
Subquestion
Yes,0.4373831775700935,234
No,0.5626168224299065,301

16.2 Please answer each of the following questions ...::Does your company have a security policy regarding using smartphones / tablets for business purposes?
Subquestion
Yes,0.5869158878504673,314
No,0.4130841121495327,221

16.3 Please answer each of the following questions ...::Does your company have a plan to deal with a lost or stolen company-issued smartphone / tablet?
Subquestion
Yes,0.5977443609022557,318
No,0.40225563909774437,214

"16.4 Please answer each of the following questions ...::Have your employees ever lost a company-issued smartphone / tablet, or had one stolen?"
Subquestion
Yes,0.28785046728971964,154
No,0.7121495327102804,381

16.5 Please answer each of the following questions ...::Do you plan to use more tablets or “phablets” in the next year in your business?
Subquestion
Yes,0.49625468164794007,265
No,0.5037453183520599,269

16.6 Please answer each of the following questions ...::Do you or your employees keep customer information on smartphones / tablets?
Subquestion
Yes,0.5461393596986818,290
No,0.4538606403013183,241

16.7 Please answer each of the following questions ...::Do you believe that the use of smartphones / tablets in your company creates a security risk?
Subquestion
Yes,0.4608208955223881,247
No,0.539179104477612,289

16.8 Please answer each of the following questions ...::Is the information that you or your employees store on smartphones / tablets important to conducting your business?
Subquestion
Yes,0.6448598130841121,345
No,0.35514018691588783,190

16.9 Please answer each of the following questions ...::Do you use a security product on your smartphones / tablets today to protect against malware and / or theft or loss?
Subquestion
Yes,0.6067415730337079,324
No,0.39325842696629215,210

16.10 Please answer each of the following questions...::Do you see any value in having a security product on your smartphones / tablets?
Subquestion
Yes,0.6985018726591761,373
No,0.301498127340824,161

16.11 Please answer each of the following questions...::Do you feel you have a good understanding of how your employees use their smartphones / tablets for work?
Subquestion
Yes,0.7849056603773585,416
No,0.21509433962264152,114

17. Did your lost or stolen company-issued smartphone/tablet result in a breach or data theft?
Single
Yes,0.273972602739726,40
No,0.726027397260274,106

"18. In general, where would you say you first learn about new products and services for your business? (rank from most to least important)"
Rank
"Direct from vendors – e.g., email, websites, trade shows, sales call from representative, etc.",1,3322
Business news media / review sites / blogs,2,2966
Other business owners / peers / colleagues,3,2621
"My internal team – e.g., my IT manager, financial manager, HR manager, etc.",4,2551
In a store,5,2432
"My external team – e.g., my accountant, attorney or local technology consultant / reseller",6,2274
Analysts like Forrester or Gartner,7,1977
Online forum / discussion board,8,1963
