,age_m.csv,2014-06-29T14:36:40-07:00
,p/rank,n
1. What is your title?
Single
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",1.0,185
Vice President or Director,0.0,0
Manager,0.0,0
Individual contributor,0.0,0

2. How many full-time employees does your company have?
Single
19-Jan,0.31891891891891894,59
20-99,0.4486486486486487,83
100-500,0.23243243243243245,43
More than 500,0.0,0

3. What is your gender?
Single
Male,0.5195530726256983,93
Female,0.48044692737430167,86

4. What is your age?
Single
Under 18,0.0,0
18-34,0.0,0
35-49,1.0,185
50-64,0.0,0
Over 64,0.0,0

5. In which state is your company headquartered?
Single
Alabama,0.0,0
Alaska,0.0,0
Arizona,0.0546448087431694,10
Arkansas,0.0,0
California,0.12568306010928962,23
Colorado,0.01639344262295082,3
Connecticut,0.00546448087431694,1
Delaware,0.00546448087431694,1
Florida,0.06557377049180328,12
Georgia,0.03825136612021858,7
Hawaii,0.0,0
Idaho,0.00546448087431694,1
Illinois,0.0546448087431694,10
Indiana,0.03825136612021858,7
Iowa,0.0,0
Kansas,0.0,0
Kentucky,0.00546448087431694,1
Louisiana,0.02185792349726776,4
Maine,0.0,0
Maryland,0.00546448087431694,1
Massachusetts,0.0273224043715847,5
Michigan,0.01639344262295082,3
Minnesota,0.00546448087431694,1
Mississippi,0.00546448087431694,1
Missouri,0.01092896174863388,2
Montana,0.0,0
Nebraska,0.0,0
Nevada,0.0,0
New Hampshire,0.0,0
New Jersey,0.060109289617486336,11
New Mexico,0.0,0
New York,0.09836065573770492,18
North Carolina,0.03825136612021858,7
North Dakota,0.01092896174863388,2
Ohio,0.0273224043715847,5
Oklahoma,0.00546448087431694,1
Oregon,0.02185792349726776,4
Pennsylvania,0.07103825136612021,13
Rhode Island,0.00546448087431694,1
South Carolina,0.00546448087431694,1
South Dakota,0.0,0
Tennessee,0.01092896174863388,2
Texas,0.08196721311475409,15
Utah,0.00546448087431694,1
Vermont,0.0,0
Virginia,0.03278688524590164,6
Washington,0.0,0
West Virginia,0.0,0
Wisconsin,0.01092896174863388,2
Wyoming,0.0,0
District of Columbia,0.00546448087431694,1

6. Which best describes your industry?
Single
Accommodation & food service,0.022099447513812154,4
"Administrative, support, waste management & remediation service",0.0055248618784530384,1
"Arts, entertainment & recreation",0.08839779005524862,16
Construction,0.10497237569060773,19
Educational services,0.04419889502762431,8
Finance & insurance,0.03867403314917127,7
Health care & social assistance,0.06077348066298342,11
Information technology,0.08287292817679558,15
"Local, state or federal government (any kind)",0.0,0
Management of companies & enterprises,0.011049723756906077,2
Manufacturing,0.06629834254143646,12
Mining,0.0,0
Other services (except public administration),0.06077348066298342,11
Professional services,0.16022099447513813,29
Scientific & technical services,0.016574585635359115,3
"Real estate, rental & leasing",0.03867403314917127,7
Retail trade,0.1270718232044199,23
Transportation & warehousing,0.027624309392265192,5
Utilities,0.0055248618784530384,1
Wholesale trade,0.03867403314917127,7
Not currently working,0.0,0

7. How long has your company been in business?
Single
Less than one year,0.02197802197802198,4
One to five years,0.18681318681318682,34
Six to 10 years,0.35714285714285715,65
More than 10 years,0.4340659340659341,79

"8. What is your revenue outlook for 2014, compared to 2013?"
Single
Up by 10% or more,0.375,69
"Up, by less than 10%",0.31521739130434784,58
Same as 2013,0.21195652173913043,39
"Down, by less than 10%",0.05434782608695652,10
Down by more than 10%,0.043478260869565216,8

"9. Roughly what percent of your work time do you spend conducting business via a smartphone (e.g., an iPhone or Samsung Galaxy) and/or tablet (e.g., an iPad)?"
Single
None,0.12087912087912088,22
Up to 25%,0.37362637362637363,68
25% to 49%,0.25274725274725274,46
50% to 74%,0.19230769230769232,35
75% to 99%,0.06043956043956044,11
100% - I only do business on my smartphone and/or tablet,0.0,0

10. Which of the following transactions does your business handle on smartphones and/or tablets? (select all that apply)
Single
Returns / exchanges,0.1225,49
Capture customer contact information,0.2625,105
Email receipts,0.2775,111
Check inventory availability,0.1975,79
None of the above,0.0975,39
I don’t know,0.005,2
Other (please describe),0.0375,15

"11. On a scale of 1 (not at all important) to 5 (very important), please rate each of these items:"
TopTwo
Smartphones and tablets for my business,0.6702702702702703,124
Virus and malware protection for my business,0.745945945945946,138
Virus and malware protection for my smartphones and/or tablets,0.6956521739130435,128
Keeping data safe on smartphones and tablets,0.7540983606557377,138
Preventing smartphones and tablets from being lost or stolen,0.7923497267759563,145
Restricting employees' personal use of business smartphones and tablets,0.4808743169398907,88
Making my team more productive and saving costs by using more smartphones and tablets,0.5901639344262295,108
The information security policies of a vendor (such as a CPA or payroll service provider) as a factor in choosing / working with that vendor,0.6043956043956044,110

12. Do you provide smartphones or tablets to employees or contractors?
Single
"Yes, for use during working hours only",0.3641304347826087,67
"Yes, for employees / contractors to take home (personal use permitted)",0.2717391304347826,50
No,0.3641304347826087,67

13. What kinds of smartphones / tablets do you provide to employees or contractors? (select all that apply)
Single
iOS,0.3433734939759036,57
Android,0.463855421686747,77
Windows,0.1746987951807229,29
"Other (e.g., BlackBerry)",0.018072289156626505,3

"15. On average, how many total devices (i.e., desktop computer / workstation, laptop / portable PC, smartphone, tablet) does each of your employees typically use on a daily basis for work purposes?"
Single
None,0.08108108108108109,15
One,0.2702702702702703,50
Two,0.32972972972972975,61
Three,0.1945945945945946,36
Four,0.02702702702702703,5
Five or more,0.0972972972972973,18

16.1 Please answer each of the following questions yes or no:::Do you feel that small businesses are more prone / vulnerable to attack from cybercriminals than mid-sized or large businesses are?
Subquestion
Yes,0.42391304347826086,78
No,0.5760869565217391,106

16.2 Please answer each of the following questions ...::Does your company have a security policy regarding using smartphones / tablets for business purposes?
Subquestion
Yes,0.6793478260869565,125
No,0.32065217391304346,59

16.3 Please answer each of the following questions ...::Does your company have a plan to deal with a lost or stolen company-issued smartphone / tablet?
Subquestion
Yes,0.6721311475409836,123
No,0.32786885245901637,60

"16.4 Please answer each of the following questions ...::Have your employees ever lost a company-issued smartphone / tablet, or had one stolen?"
Subquestion
Yes,0.3551912568306011,65
No,0.644808743169399,118

16.5 Please answer each of the following questions ...::Do you plan to use more tablets or “phablets” in the next year in your business?
Subquestion
Yes,0.6086956521739131,112
No,0.391304347826087,72

16.6 Please answer each of the following questions ...::Do you or your employees keep customer information on smartphones / tablets?
Subquestion
Yes,0.6413043478260869,118
No,0.358695652173913,66

16.7 Please answer each of the following questions ...::Do you believe that the use of smartphones / tablets in your company creates a security risk?
Subquestion
Yes,0.5459459459459459,101
No,0.4540540540540541,84

16.8 Please answer each of the following questions ...::Is the information that you or your employees store on smartphones / tablets important to conducting your business?
Subquestion
Yes,0.7771739130434783,143
No,0.22282608695652173,41

16.9 Please answer each of the following questions ...::Do you use a security product on your smartphones / tablets today to protect against malware and / or theft or loss?
Subquestion
Yes,0.6994535519125683,128
No,0.3005464480874317,55

16.10 Please answer each of the following questions...::Do you see any value in having a security product on your smartphones / tablets?
Subquestion
Yes,0.7989130434782609,147
No,0.20108695652173914,37

16.11 Please answer each of the following questions...::Do you feel you have a good understanding of how your employees use their smartphones / tablets for work?
Subquestion
Yes,0.8579234972677595,157
No,0.14207650273224043,26

17. Did your lost or stolen company-issued smartphone/tablet result in a breach or data theft?
Single
Yes,0.21875,14
No,0.78125,50

"18. In general, where would you say you first learn about new products and services for your business? (rank from most to least important)"
Rank
"Direct from vendors – e.g., email, websites, trade shows, sales call from representative, etc.",1,1089
Business news media / review sites / blogs,2,1047
"My internal team – e.g., my IT manager, financial manager, HR manager, etc.",3,970
Other business owners / peers / colleagues,4,835
"My external team – e.g., my accountant, attorney or local technology consultant / reseller",5,820
In a store,6,763
Analysts like Forrester or Gartner,7,716
Online forum / discussion board,8,652
Social media site,9,545

"19. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to first learn about a product or service for your business via each of these specific sources / formats."
TopTwo
Analyst report,0.35,63
Audio podcast,0.25555555555555554,46
Banner ad on a website,0.32044198895027626,58
Blog,0.4180790960451977,74
