,age_o.csv,2014-06-29T14:36:40-07:00
,p/rank,n
1. What is your title?
Single
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",1.0,233
Vice President or Director,0.0,0
Manager,0.0,0
Individual contributor,0.0,0

2. How many full-time employees does your company have?
Single
19-Jan,0.645021645021645,149
20-99,0.2597402597402597,60
100-500,0.09523809523809523,22
More than 500,0.0,0

3. What is your gender?
Single
Male,0.5521739130434783,127
Female,0.44782608695652176,103

4. What is your age?
Single
Under 18,0.0,0
18-34,0.0,0
35-49,0.0,0
50-64,0.7725321888412017,180
Over 64,0.22746781115879827,53

5. In which state is your company headquartered?
Single
Alabama,0.0,0
Alaska,0.0,0
Arizona,0.02575107296137339,6
Arkansas,0.004291845493562232,1
California,0.1459227467811159,34
Colorado,0.004291845493562232,1
Connecticut,0.02145922746781116,5
Delaware,0.0,0
Florida,0.11158798283261803,26
Georgia,0.012875536480686695,3
Hawaii,0.004291845493562232,1
Idaho,0.008583690987124463,2
Illinois,0.06866952789699571,16
Indiana,0.004291845493562232,1
Iowa,0.004291845493562232,1
Kansas,0.012875536480686695,3
Kentucky,0.012875536480686695,3
Louisiana,0.0,0
Maine,0.0,0
Maryland,0.008583690987124463,2
Massachusetts,0.02145922746781116,5
Michigan,0.02145922746781116,5
Minnesota,0.0,0
Mississippi,0.0,0
Missouri,0.04291845493562232,10
Montana,0.004291845493562232,1
Nebraska,0.0,0
Nevada,0.004291845493562232,1
New Hampshire,0.0,0
New Jersey,0.04291845493562232,10
New Mexico,0.008583690987124463,2
New York,0.07296137339055794,17
North Carolina,0.04721030042918455,11
North Dakota,0.004291845493562232,1
Ohio,0.030042918454935622,7
Oklahoma,0.004291845493562232,1
Oregon,0.030042918454935622,7
Pennsylvania,0.055793991416309016,13
Rhode Island,0.0,0
South Carolina,0.008583690987124463,2
South Dakota,0.0,0
Tennessee,0.012875536480686695,3
Texas,0.07296137339055794,17
Utah,0.008583690987124463,2
Vermont,0.0,0
Virginia,0.012875536480686695,3
Washington,0.02575107296137339,6
West Virginia,0.004291845493562232,1
Wisconsin,0.008583690987124463,2
Wyoming,0.004291845493562232,1
District of Columbia,0.0,0

6. Which best describes your industry?
Single
Accommodation & food service,0.035555555555555556,8
"Administrative, support, waste management & remediation service",0.0044444444444444444,1
"Arts, entertainment & recreation",0.07555555555555556,17
Construction,0.07555555555555556,17
Educational services,0.03111111111111111,7
Finance & insurance,0.05333333333333334,12
Health care & social assistance,0.035555555555555556,8
Information technology,0.04,9
"Local, state or federal government (any kind)",0.0,0
Management of companies & enterprises,0.0044444444444444444,1
Manufacturing,0.04,9
Mining,0.0,0
Other services (except public administration),0.16444444444444445,37
Professional services,0.19111111111111112,43
Scientific & technical services,0.013333333333333334,3
"Real estate, rental & leasing",0.07111111111111111,16
Retail trade,0.10222222222222223,23
Transportation & warehousing,0.008888888888888889,2
Utilities,0.017777777777777778,4
Wholesale trade,0.035555555555555556,8
Not currently working,0.0,0

7. How long has your company been in business?
Single
Less than one year,0.004310344827586207,1
One to five years,0.14655172413793102,34
Six to 10 years,0.17672413793103448,41
More than 10 years,0.6724137931034483,156

"8. What is your revenue outlook for 2014, compared to 2013?"
Single
Up by 10% or more,0.3133047210300429,73
"Up, by less than 10%",0.21030042918454936,49
Same as 2013,0.3218884120171674,75
"Down, by less than 10%",0.07296137339055794,17
Down by more than 10%,0.0815450643776824,19

"9. Roughly what percent of your work time do you spend conducting business via a smartphone (e.g., an iPhone or Samsung Galaxy) and/or tablet (e.g., an iPad)?"
Single
None,0.36909871244635195,86
Up to 25%,0.4248927038626609,99
25% to 49%,0.09871244635193133,23
50% to 74%,0.07725321888412018,18
75% to 99%,0.017167381974248927,4
100% - I only do business on my smartphone and/or tablet,0.012875536480686695,3

10. Which of the following transactions does your business handle on smartphones and/or tablets? (select all that apply)
Single
Returns / exchanges,0.036036036036036036,12
Capture customer contact information,0.22522522522522523,75
Email receipts,0.18618618618618618,62
Check inventory availability,0.13213213213213212,44
None of the above,0.35135135135135137,117
I don’t know,0.003003003003003003,1
Other (please describe),0.06606606606606606,22

"11. On a scale of 1 (not at all important) to 5 (very important), please rate each of these items:"
TopTwo
Smartphones and tablets for my business,0.4043478260869565,93
Virus and malware protection for my business,0.7260869565217392,167
Virus and malware protection for my smartphones and/or tablets,0.5627705627705628,130
Keeping data safe on smartphones and tablets,0.5877192982456141,134
Preventing smartphones and tablets from being lost or stolen,0.5982532751091703,137
Restricting employees' personal use of business smartphones and tablets,0.3217391304347826,74
Making my team more productive and saving costs by using more smartphones and tablets,0.40086206896551724,93
The information security policies of a vendor (such as a CPA or payroll service provider) as a factor in choosing / working with that vendor,0.5043478260869565,116

12. Do you provide smartphones or tablets to employees or contractors?
Single
"Yes, for use during working hours only",0.15517241379310345,36
"Yes, for employees / contractors to take home (personal use permitted)",0.17672413793103448,41
No,0.6681034482758621,155

13. What kinds of smartphones / tablets do you provide to employees or contractors? (select all that apply)
Single
iOS,0.30434782608695654,28
Android,0.532608695652174,49
Windows,0.13043478260869565,12
"Other (e.g., BlackBerry)",0.03260869565217391,3

"15. On average, how many total devices (i.e., desktop computer / workstation, laptop / portable PC, smartphone, tablet) does each of your employees typically use on a daily basis for work purposes?"
Single
None,0.14655172413793102,34
One,0.3577586206896552,83
Two,0.3146551724137931,73
Three,0.10775862068965517,25
Four,0.021551724137931036,5
Five or more,0.05172413793103448,12

16.1 Please answer each of the following questions yes or no:::Do you feel that small businesses are more prone / vulnerable to attack from cybercriminals than mid-sized or large businesses are?
Subquestion
Yes,0.329004329004329,76
No,0.670995670995671,155

16.2 Please answer each of the following questions ...::Does your company have a security policy regarding using smartphones / tablets for business purposes?
Subquestion
Yes,0.4482758620689655,104
No,0.5517241379310345,128

16.3 Please answer each of the following questions ...::Does your company have a plan to deal with a lost or stolen company-issued smartphone / tablet?
Subquestion
Yes,0.4608695652173913,106
No,0.5391304347826087,124

"16.4 Please answer each of the following questions ...::Have your employees ever lost a company-issued smartphone / tablet, or had one stolen?"
Subquestion
Yes,0.16379310344827586,38
No,0.8362068965517241,194

16.5 Please answer each of the following questions ...::Do you plan to use more tablets or “phablets” in the next year in your business?
Subquestion
Yes,0.33766233766233766,78
No,0.6623376623376623,153

16.6 Please answer each of the following questions ...::Do you or your employees keep customer information on smartphones / tablets?
Subquestion
Yes,0.4166666666666667,95
No,0.5833333333333334,133

16.7 Please answer each of the following questions ...::Do you believe that the use of smartphones / tablets in your company creates a security risk?
Subquestion
Yes,0.3593073593073593,83
No,0.6406926406926406,148

16.8 Please answer each of the following questions ...::Is the information that you or your employees store on smartphones / tablets important to conducting your business?
Subquestion
Yes,0.5108225108225108,118
No,0.48917748917748916,113

16.9 Please answer each of the following questions ...::Do you use a security product on your smartphones / tablets today to protect against malware and / or theft or loss?
Subquestion
Yes,0.48484848484848486,112
No,0.5151515151515151,119

16.10 Please answer each of the following questions...::Do you see any value in having a security product on your smartphones / tablets?
Subquestion
Yes,0.625,145
No,0.375,87

16.11 Please answer each of the following questions...::Do you feel you have a good understanding of how your employees use their smartphones / tablets for work?
Subquestion
Yes,0.7074235807860262,162
No,0.2925764192139738,67

17. Did your lost or stolen company-issued smartphone/tablet result in a breach or data theft?
Single
Yes,0.1111111111111111,4
No,0.8888888888888888,32

"18. In general, where would you say you first learn about new products and services for your business? (rank from most to least important)"
Rank
"Direct from vendors – e.g., email, websites, trade shows, sales call from representative, etc.",1,1475
Other business owners / peers / colleagues,2,1315
Business news media / review sites / blogs,3,1214
"My internal team – e.g., my IT manager, financial manager, HR manager, etc.",4,1052
In a store,5,1041
"My external team – e.g., my accountant, attorney or local technology consultant / reseller",6,962
Online forum / discussion board,7,839
Analysts like Forrester or Gartner,8,608
Social media site,9,606

"19. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to first learn about a product or service for your business via each of these specific sources / formats."
TopTwo
