,businessage_m.csv,2014-06-29T14:36:40-07:00
,p/rank,n
1. What is your title?
Single
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",1.0,147
Vice President or Director,0.0,0
Manager,0.0,0
Individual contributor,0.0,0

2. How many full-time employees does your company have?
Single
19-Jan,0.3013698630136986,44
20-99,0.4246575342465753,62
100-500,0.273972602739726,40
More than 500,0.0,0

3. What is your gender?
Single
Male,0.5070422535211268,72
Female,0.49295774647887325,70

4. What is your age?
Single
Under 18,0.0,0
18-34,0.2689655172413793,39
35-49,0.4482758620689655,65
50-64,0.2,29
Over 64,0.08275862068965517,12

5. In which state is your company headquartered?
Single
Alabama,0.013793103448275862,2
Alaska,0.0,0
Arizona,0.041379310344827586,6
Arkansas,0.006896551724137931,1
California,0.11724137931034483,17
Colorado,0.020689655172413793,3
Connecticut,0.013793103448275862,2
Delaware,0.0,0
Florida,0.09655172413793103,14
Georgia,0.04827586206896552,7
Hawaii,0.0,0
Idaho,0.013793103448275862,2
Illinois,0.06206896551724138,9
Indiana,0.027586206896551724,4
Iowa,0.006896551724137931,1
Kansas,0.006896551724137931,1
Kentucky,0.006896551724137931,1
Louisiana,0.006896551724137931,1
Maine,0.0,0
Maryland,0.013793103448275862,2
Massachusetts,0.013793103448275862,2
Michigan,0.013793103448275862,2
Minnesota,0.0,0
Mississippi,0.006896551724137931,1
Missouri,0.020689655172413793,3
Montana,0.006896551724137931,1
Nebraska,0.0,0
Nevada,0.0,0
New Hampshire,0.0,0
New Jersey,0.05517241379310345,8
New Mexico,0.0,0
New York,0.06896551724137931,10
North Carolina,0.05517241379310345,8
North Dakota,0.006896551724137931,1
Ohio,0.013793103448275862,2
Oklahoma,0.006896551724137931,1
Oregon,0.006896551724137931,1
Pennsylvania,0.06896551724137931,10
Rhode Island,0.0,0
South Carolina,0.006896551724137931,1
South Dakota,0.0,0
Tennessee,0.006896551724137931,1
Texas,0.09655172413793103,14
Utah,0.0,0
Vermont,0.0,0
Virginia,0.013793103448275862,2
Washington,0.013793103448275862,2
West Virginia,0.0,0
Wisconsin,0.006896551724137931,1
Wyoming,0.006896551724137931,1
District of Columbia,0.0,0

6. Which best describes your industry?
Single
Accommodation & food service,0.027777777777777776,4
"Administrative, support, waste management & remediation service",0.020833333333333332,3
"Arts, entertainment & recreation",0.0763888888888889,11
Construction,0.06944444444444445,10
Educational services,0.0625,9
Finance & insurance,0.034722222222222224,5
Health care & social assistance,0.05555555555555555,8
Information technology,0.0625,9
"Local, state or federal government (any kind)",0.0,0
Management of companies & enterprises,0.006944444444444444,1
Manufacturing,0.0625,9
Mining,0.0,0
Other services (except public administration),0.09027777777777778,13
Professional services,0.16666666666666666,24
Scientific & technical services,0.027777777777777776,4
"Real estate, rental & leasing",0.04861111111111111,7
Retail trade,0.09722222222222222,14
Transportation & warehousing,0.034722222222222224,5
Utilities,0.0,0
Wholesale trade,0.05555555555555555,8
Not currently working,0.0,0

7. How long has your company been in business?
Single
Less than one year,0.0,0
One to five years,0.0,0
Six to 10 years,1.0,147
More than 10 years,0.0,0

"8. What is your revenue outlook for 2014, compared to 2013?"
Single
Up by 10% or more,0.3945578231292517,58
"Up, by less than 10%",0.30612244897959184,45
Same as 2013,0.2108843537414966,31
"Down, by less than 10%",0.06802721088435375,10
Down by more than 10%,0.02040816326530612,3

"9. Roughly what percent of your work time do you spend conducting business via a smartphone (e.g., an iPhone or Samsung Galaxy) and/or tablet (e.g., an iPad)?"
Single
None,0.08904109589041095,13
Up to 25%,0.3356164383561644,49
25% to 49%,0.2534246575342466,37
50% to 74%,0.2465753424657534,36
75% to 99%,0.06164383561643835,9
100% - I only do business on my smartphone and/or tablet,0.0136986301369863,2

10. Which of the following transactions does your business handle on smartphones and/or tablets? (select all that apply)
Single
Returns / exchanges,0.1377245508982036,46
Capture customer contact information,0.281437125748503,94
Email receipts,0.2904191616766467,97
Check inventory availability,0.19461077844311378,65
None of the above,0.0688622754491018,23
I don’t know,0.0,0
Other (please describe),0.02694610778443114,9

"11. On a scale of 1 (not at all important) to 5 (very important), please rate each of these items:"
TopTwo
Smartphones and tablets for my business,0.7123287671232876,104
Virus and malware protection for my business,0.7862068965517242,114
Virus and malware protection for my smartphones and/or tablets,0.7777777777777778,112
Keeping data safe on smartphones and tablets,0.7916666666666666,114
Preventing smartphones and tablets from being lost or stolen,0.7902097902097902,113
Restricting employees' personal use of business smartphones and tablets,0.5833333333333334,84
Making my team more productive and saving costs by using more smartphones and tablets,0.6458333333333334,93
The information security policies of a vendor (such as a CPA or payroll service provider) as a factor in choosing / working with that vendor,0.6690140845070423,95

12. Do you provide smartphones or tablets to employees or contractors?
Single
"Yes, for use during working hours only",0.4383561643835616,64
"Yes, for employees / contractors to take home (personal use permitted)",0.2602739726027397,38
No,0.3013698630136986,44

13. What kinds of smartphones / tablets do you provide to employees or contractors? (select all that apply)
Single
iOS,0.3129251700680272,46
Android,0.5374149659863946,79
Windows,0.12244897959183673,18
"Other (e.g., BlackBerry)",0.027210884353741496,4

"15. On average, how many total devices (i.e., desktop computer / workstation, laptop / portable PC, smartphone, tablet) does each of your employees typically use on a daily basis for work purposes?"
Single
None,0.0958904109589041,14
One,0.2602739726027397,38
Two,0.3698630136986301,54
Three,0.18493150684931506,27
Four,0.0273972602739726,4
Five or more,0.06164383561643835,9

16.1 Please answer each of the following questions yes or no:::Do you feel that small businesses are more prone / vulnerable to attack from cybercriminals than mid-sized or large businesses are?
Subquestion
Yes,0.5821917808219178,85
No,0.4178082191780822,61

16.2 Please answer each of the following questions ...::Does your company have a security policy regarding using smartphones / tablets for business purposes?
Subquestion
Yes,0.7054794520547946,103
No,0.2945205479452055,43

16.3 Please answer each of the following questions ...::Does your company have a plan to deal with a lost or stolen company-issued smartphone / tablet?
Subquestion
Yes,0.704225352112676,100
No,0.29577464788732394,42

"16.4 Please answer each of the following questions ...::Have your employees ever lost a company-issued smartphone / tablet, or had one stolen?"
Subquestion
Yes,0.4246575342465753,62
No,0.5753424657534246,84

16.5 Please answer each of the following questions ...::Do you plan to use more tablets or “phablets” in the next year in your business?
Subquestion
Yes,0.6551724137931034,95
No,0.3448275862068966,50

16.6 Please answer each of the following questions ...::Do you or your employees keep customer information on smartphones / tablets?
Subquestion
Yes,0.6232876712328768,91
No,0.3767123287671233,55

16.7 Please answer each of the following questions ...::Do you believe that the use of smartphones / tablets in your company creates a security risk?
Subquestion
Yes,0.547945205479452,80
No,0.4520547945205479,66

16.8 Please answer each of the following questions ...::Is the information that you or your employees store on smartphones / tablets important to conducting your business?
Subquestion
Yes,0.7465753424657534,109
No,0.2534246575342466,37

16.9 Please answer each of the following questions ...::Do you use a security product on your smartphones / tablets today to protect against malware and / or theft or loss?
Subquestion
Yes,0.7054794520547946,103
No,0.2945205479452055,43

16.10 Please answer each of the following questions...::Do you see any value in having a security product on your smartphones / tablets?
Subquestion
Yes,0.7586206896551724,110
No,0.2413793103448276,35

16.11 Please answer each of the following questions...::Do you feel you have a good understanding of how your employees use their smartphones / tablets for work?
Subquestion
Yes,0.8402777777777778,121
No,0.1597222222222222,23

17. Did your lost or stolen company-issued smartphone/tablet result in a breach or data theft?
Single
Yes,0.3442622950819672,21
No,0.6557377049180327,40

"18. In general, where would you say you first learn about new products and services for your business? (rank from most to least important)"
Rank
"Direct from vendors – e.g., email, websites, trade shows, sales call from representative, etc.",1,867
Business news media / review sites / blogs,2,782
"My internal team – e.g., my IT manager, financial manager, HR manager, etc.",3,734
"My external team – e.g., my accountant, attorney or local technology consultant / reseller",4,681
Other business owners / peers / colleagues,5,645
Analysts like Forrester or Gartner,6,643
In a store,7,619
Online forum / discussion board,8,540
Social media site,9,466

"19. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to first learn about a product or service for your business via each of these specific sources / formats."
TopTwo
Analyst report,0.4375,63
Audio podcast,0.34265734265734266,49
