,gender_f.csv,2014-06-29T14:36:40-07:00
,p/rank,n
1. What is your title?
Single
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",1.0,251
Vice President or Director,0.0,0
Manager,0.0,0
Individual contributor,0.0,0

2. How many full-time employees does your company have?
Single
19-Jan,0.472,118
20-99,0.34,85
100-500,0.188,47
More than 500,0.0,0

3. What is your gender?
Single
Male,0.0,0
Female,1.0,251

4. What is your age?
Single
Under 18,0.0,0
18-34,0.23790322580645162,59
35-49,0.3467741935483871,86
50-64,0.3346774193548387,83
Over 64,0.08064516129032258,20

5. In which state is your company headquartered?
Single
Alabama,0.02,5
Alaska,0.0,0
Arizona,0.032,8
Arkansas,0.0,0
California,0.132,33
Colorado,0.024,6
Connecticut,0.012,3
Delaware,0.0,0
Florida,0.1,25
Georgia,0.024,6
Hawaii,0.004,1
Idaho,0.008,2
Illinois,0.036,9
Indiana,0.02,5
Iowa,0.0,0
Kansas,0.008,2
Kentucky,0.016,4
Louisiana,0.008,2
Maine,0.0,0
Maryland,0.008,2
Massachusetts,0.02,5
Michigan,0.028,7
Minnesota,0.004,1
Mississippi,0.012,3
Missouri,0.024,6
Montana,0.004,1
Nebraska,0.0,0
Nevada,0.0,0
New Hampshire,0.0,0
New Jersey,0.052,13
New Mexico,0.004,1
New York,0.068,17
North Carolina,0.032,8
North Dakota,0.0,0
Ohio,0.024,6
Oklahoma,0.008,2
Oregon,0.028,7
Pennsylvania,0.064,16
Rhode Island,0.004,1
South Carolina,0.008,2
South Dakota,0.0,0
Tennessee,0.016,4
Texas,0.096,24
Utah,0.008,2
Vermont,0.0,0
Virginia,0.02,5
Washington,0.02,5
West Virginia,0.0,0
Wisconsin,0.0,0
Wyoming,0.0,0
District of Columbia,0.004,1

6. Which best describes your industry?
Single
Accommodation & food service,0.04526748971193416,11
"Administrative, support, waste management & remediation service",0.024691358024691357,6
"Arts, entertainment & recreation",0.07407407407407407,18
Construction,0.0411522633744856,10
Educational services,0.05761316872427984,14
Finance & insurance,0.0411522633744856,10
Health care & social assistance,0.05761316872427984,14
Information technology,0.06584362139917696,16
"Local, state or federal government (any kind)",0.0,0
Management of companies & enterprises,0.012345679012345678,3
Manufacturing,0.037037037037037035,9
Mining,0.0,0
Other services (except public administration),0.11522633744855967,28
Professional services,0.18930041152263374,46
Scientific & technical services,0.01646090534979424,4
"Real estate, rental & leasing",0.0411522633744856,10
Retail trade,0.12757201646090535,31
Transportation & warehousing,0.00823045267489712,2
Utilities,0.00823045267489712,2
Wholesale trade,0.037037037037037035,9
Not currently working,0.0,0

7. How long has your company been in business?
Single
Less than one year,0.04,10
One to five years,0.264,66
Six to 10 years,0.28,70
More than 10 years,0.416,104

"8. What is your revenue outlook for 2014, compared to 2013?"
Single
Up by 10% or more,0.396,99
"Up, by less than 10%",0.22,55
Same as 2013,0.276,69
"Down, by less than 10%",0.044,11
Down by more than 10%,0.064,16

"9. Roughly what percent of your work time do you spend conducting business via a smartphone (e.g., an iPhone or Samsung Galaxy) and/or tablet (e.g., an iPad)?"
Single
None,0.2,50
Up to 25%,0.344,86
25% to 49%,0.172,43
50% to 74%,0.184,46
75% to 99%,0.076,19
100% - I only do business on my smartphone and/or tablet,0.024,6

10. Which of the following transactions does your business handle on smartphones and/or tablets? (select all that apply)
Single
Returns / exchanges,0.12761506276150628,61
Capture customer contact information,0.24476987447698745,117
Email receipts,0.2594142259414226,124
Check inventory availability,0.1694560669456067,81
None of the above,0.1589958158995816,76
I don’t know,0.0041841004184100415,2
Other (please describe),0.03556485355648536,17

"11. On a scale of 1 (not at all important) to 5 (very important), please rate each of these items:"
TopTwo
Smartphones and tablets for my business,0.5887096774193549,146
Virus and malware protection for my business,0.7459677419354839,185
Virus and malware protection for my smartphones and/or tablets,0.6854838709677419,170
Keeping data safe on smartphones and tablets,0.7387755102040816,181
Preventing smartphones and tablets from being lost or stolen,0.7736625514403292,188
Restricting employees' personal use of business smartphones and tablets,0.46938775510204084,115
Making my team more productive and saving costs by using more smartphones and tablets,0.5487804878048781,135
The information security policies of a vendor (such as a CPA or payroll service provider) as a factor in choosing / working with that vendor,0.5795918367346938,142

12. Do you provide smartphones or tablets to employees or contractors?
Single
"Yes, for use during working hours only",0.3132530120481928,78
"Yes, for employees / contractors to take home (personal use permitted)",0.20481927710843373,51
No,0.4819277108433735,120

13. What kinds of smartphones / tablets do you provide to employees or contractors? (select all that apply)
Single
iOS,0.33516483516483514,61
Android,0.46703296703296704,85
Windows,0.17582417582417584,32
"Other (e.g., BlackBerry)",0.02197802197802198,4

"15. On average, how many total devices (i.e., desktop computer / workstation, laptop / portable PC, smartphone, tablet) does each of your employees typically use on a daily basis for work purposes?"
Single
None,0.116,29
One,0.3,75
Two,0.344,86
Three,0.14,35
Four,0.02,5
Five or more,0.08,20

16.1 Please answer each of the following questions yes or no:::Do you feel that small businesses are more prone / vulnerable to attack from cybercriminals than mid-sized or large businesses are?
Subquestion
Yes,0.43673469387755104,107
No,0.563265306122449,138

16.2 Please answer each of the following questions ...::Does your company have a security policy regarding using smartphones / tablets for business purposes?
Subquestion
Yes,0.5877551020408164,144
No,0.4122448979591837,101

16.3 Please answer each of the following questions ...::Does your company have a plan to deal with a lost or stolen company-issued smartphone / tablet?
Subquestion
Yes,0.6163265306122448,151
No,0.3836734693877551,94

"16.4 Please answer each of the following questions ...::Have your employees ever lost a company-issued smartphone / tablet, or had one stolen?"
Subquestion
Yes,0.24897959183673468,61
No,0.7510204081632653,184

16.5 Please answer each of the following questions ...::Do you plan to use more tablets or “phablets” in the next year in your business?
Subquestion
Yes,0.5327868852459017,130
No,0.4672131147540984,114

16.6 Please answer each of the following questions ...::Do you or your employees keep customer information on smartphones / tablets?
Subquestion
Yes,0.5387755102040817,132
No,0.46122448979591835,113

16.7 Please answer each of the following questions ...::Do you believe that the use of smartphones / tablets in your company creates a security risk?
Subquestion
Yes,0.45934959349593496,113
No,0.540650406504065,133

16.8 Please answer each of the following questions ...::Is the information that you or your employees store on smartphones / tablets important to conducting your business?
Subquestion
Yes,0.6448979591836734,158
No,0.3551020408163265,87

16.9 Please answer each of the following questions ...::Do you use a security product on your smartphones / tablets today to protect against malware and / or theft or loss?
Subquestion
Yes,0.6516393442622951,159
No,0.3483606557377049,85

16.10 Please answer each of the following questions...::Do you see any value in having a security product on your smartphones / tablets?
Subquestion
Yes,0.7061224489795919,173
No,0.2938775510204082,72

16.11 Please answer each of the following questions...::Do you feel you have a good understanding of how your employees use their smartphones / tablets for work?
Subquestion
Yes,0.8106995884773662,197
No,0.18930041152263374,46

17. Did your lost or stolen company-issued smartphone/tablet result in a breach or data theft?
Single
Yes,0.35714285714285715,20
No,0.6428571428571429,36

"18. In general, where would you say you first learn about new products and services for your business? (rank from most to least important)"
Rank
"Direct from vendors – e.g., email, websites, trade shows, sales call from representative, etc.",1,1600
Business news media / review sites / blogs,2,1337
Other business owners / peers / colleagues,3,1220
In a store,4,1191
"My internal team – e.g., my IT manager, financial manager, HR manager, etc.",5,1103
"My external team – e.g., my accountant, attorney or local technology consultant / reseller",6,1007
Analysts like Forrester or Gartner,7,930
Online forum / discussion board,8,886
Social media site,9,792

"19. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to first learn about a product or service for your business via each of these specific sources / formats."
TopTwo
Analyst report,0.3497942386831276,85
Audio podcast,0.275,66
Banner ad on a website,0.3868312757201646,94
Blog,0.42616033755274263,101
Call from or meeting with sales representative,0.4897119341563786,119
Case study,0.384297520661157,93
eBook / guide / handbook,0.3651452282157676,88
Email newsletter,0.5679012345679012,138
Event or trade show,0.5743801652892562,139
Facebook,0.375,90
Forum or discussion board,0.44813278008298757,108
Google ,0.33472803347280333,80
Infographic,0.2719665271966527,65
LinkedIn,0.31666666666666665,76
Newspaper / magazine (print or online),0.502092050209205,120
One-off email,0.3739495798319328,89
