,headcount_l.csv,2014-06-29T14:36:40-07:00
,p/rank,n
1. What is your title?
Single
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",1.0,102
Vice President or Director,0.0,0
Manager,0.0,0
Individual contributor,0.0,0

2. How many full-time employees does your company have?
Single
19-Jan,0.0,0
20-99,0.0,0
100-500,1.0,102
More than 500,0.0,0

3. What is your gender?
Single
Male,0.53,53
Female,0.47,47

4. What is your age?
Single
Under 18,0.0,0
18-34,0.3564356435643564,36
35-49,0.42574257425742573,43
50-64,0.16831683168316833,17
Over 64,0.04950495049504951,5

5. In which state is your company headquartered?
Single
Alabama,0.00980392156862745,1
Alaska,0.0,0
Arizona,0.049019607843137254,5
Arkansas,0.0,0
California,0.16666666666666666,17
Colorado,0.0196078431372549,2
Connecticut,0.0196078431372549,2
Delaware,0.0,0
Florida,0.10784313725490197,11
Georgia,0.0392156862745098,4
Hawaii,0.00980392156862745,1
Idaho,0.00980392156862745,1
Illinois,0.09803921568627451,10
Indiana,0.0196078431372549,2
Iowa,0.0,0
Kansas,0.0,0
Kentucky,0.0,0
Louisiana,0.00980392156862745,1
Maine,0.0,0
Maryland,0.00980392156862745,1
Massachusetts,0.0196078431372549,2
Michigan,0.0196078431372549,2
Minnesota,0.0,0
Mississippi,0.0,0
Missouri,0.0,0
Montana,0.0,0
Nebraska,0.0,0
Nevada,0.00980392156862745,1
New Hampshire,0.0,0
New Jersey,0.06862745098039216,7
New Mexico,0.0,0
New York,0.08823529411764706,9
North Carolina,0.029411764705882353,3
North Dakota,0.00980392156862745,1
Ohio,0.0196078431372549,2
Oklahoma,0.00980392156862745,1
Oregon,0.00980392156862745,1
Pennsylvania,0.029411764705882353,3
Rhode Island,0.0,0
South Carolina,0.0,0
South Dakota,0.0,0
Tennessee,0.0,0
Texas,0.0784313725490196,8
Utah,0.00980392156862745,1
Vermont,0.0,0
Virginia,0.00980392156862745,1
Washington,0.0196078431372549,2
West Virginia,0.0,0
Wisconsin,0.0,0
Wyoming,0.0,0
District of Columbia,0.0,0

6. Which best describes your industry?
Single
Accommodation & food service,0.020202020202020204,2
"Administrative, support, waste management & remediation service",0.020202020202020204,2
"Arts, entertainment & recreation",0.030303030303030304,3
Construction,0.050505050505050504,5
Educational services,0.050505050505050504,5
Finance & insurance,0.13131313131313133,13
Health care & social assistance,0.08080808080808081,8
Information technology,0.10101010101010101,10
"Local, state or federal government (any kind)",0.0,0
Management of companies & enterprises,0.020202020202020204,2
Manufacturing,0.10101010101010101,10
Mining,0.0,0
Other services (except public administration),0.0707070707070707,7
Professional services,0.15151515151515152,15
Scientific & technical services,0.030303030303030304,3
"Real estate, rental & leasing",0.04040404040404041,4
Retail trade,0.06060606060606061,6
Transportation & warehousing,0.020202020202020204,2
Utilities,0.0,0
Wholesale trade,0.020202020202020204,2
Not currently working,0.0,0

7. How long has your company been in business?
Single
Less than one year,0.0,0
One to five years,0.1485148514851485,15
Six to 10 years,0.39603960396039606,40
More than 10 years,0.45544554455445546,46

"8. What is your revenue outlook for 2014, compared to 2013?"
Single
Up by 10% or more,0.46078431372549017,47
"Up, by less than 10%",0.3137254901960784,32
Same as 2013,0.17647058823529413,18
"Down, by less than 10%",0.049019607843137254,5
Down by more than 10%,0.0,0

"9. Roughly what percent of your work time do you spend conducting business via a smartphone (e.g., an iPhone or Samsung Galaxy) and/or tablet (e.g., an iPad)?"
Single
None,0.0594059405940594,6
Up to 25%,0.18811881188118812,19
25% to 49%,0.24752475247524752,25
50% to 74%,0.32673267326732675,33
75% to 99%,0.15841584158415842,16
100% - I only do business on my smartphone and/or tablet,0.019801980198019802,2

10. Which of the following transactions does your business handle on smartphones and/or tablets? (select all that apply)
Single
Returns / exchanges,0.17669172932330826,47
Capture customer contact information,0.2706766917293233,72
Email receipts,0.2819548872180451,75
Check inventory availability,0.22180451127819548,59
None of the above,0.041353383458646614,11
I don’t know,0.0,0
Other (please describe),0.007518796992481203,2

"11. On a scale of 1 (not at all important) to 5 (very important), please rate each of these items:"
TopTwo
Smartphones and tablets for my business,0.7843137254901961,80
Virus and malware protection for my business,0.8118811881188119,82
Virus and malware protection for my smartphones and/or tablets,0.8217821782178217,83
Keeping data safe on smartphones and tablets,0.8316831683168316,84
Preventing smartphones and tablets from being lost or stolen,0.81,81
Restricting employees' personal use of business smartphones and tablets,0.71,71
Making my team more productive and saving costs by using more smartphones and tablets,0.81,81
The information security policies of a vendor (such as a CPA or payroll service provider) as a factor in choosing / working with that vendor,0.77,77

12. Do you provide smartphones or tablets to employees or contractors?
Single
"Yes, for use during working hours only",0.594059405940594,60
"Yes, for employees / contractors to take home (personal use permitted)",0.3069306930693069,31
No,0.09900990099009901,10

13. What kinds of smartphones / tablets do you provide to employees or contractors? (select all that apply)
Single
iOS,0.3194444444444444,46
Android,0.4583333333333333,66
Windows,0.1875,27
"Other (e.g., BlackBerry)",0.034722222222222224,5

"15. On average, how many total devices (i.e., desktop computer / workstation, laptop / portable PC, smartphone, tablet) does each of your employees typically use on a daily basis for work purposes?"
Single
None,0.009900990099009901,1
One,0.21782178217821782,22
Two,0.44554455445544555,45
Three,0.18811881188118812,19
Four,0.0297029702970297,3
Five or more,0.10891089108910891,11

16.1 Please answer each of the following questions yes or no:::Do you feel that small businesses are more prone / vulnerable to attack from cybercriminals than mid-sized or large businesses are?
Subquestion
Yes,0.7425742574257426,75
No,0.25742574257425743,26

16.2 Please answer each of the following questions ...::Does your company have a security policy regarding using smartphones / tablets for business purposes?
Subquestion
Yes,0.8316831683168316,84
No,0.16831683168316833,17

16.3 Please answer each of the following questions ...::Does your company have a plan to deal with a lost or stolen company-issued smartphone / tablet?
Subquestion
Yes,0.8,80
No,0.2,20

"16.4 Please answer each of the following questions ...::Have your employees ever lost a company-issued smartphone / tablet, or had one stolen?"
Subquestion
Yes,0.49504950495049505,50
No,0.504950495049505,51

16.5 Please answer each of the following questions ...::Do you plan to use more tablets or “phablets” in the next year in your business?
Subquestion
Yes,0.6534653465346535,66
No,0.3465346534653465,35

16.6 Please answer each of the following questions ...::Do you or your employees keep customer information on smartphones / tablets?
Subquestion
Yes,0.7171717171717171,71
No,0.2828282828282828,28

16.7 Please answer each of the following questions ...::Do you believe that the use of smartphones / tablets in your company creates a security risk?
Subquestion
Yes,0.6336633663366337,64
No,0.36633663366336633,37

16.8 Please answer each of the following questions ...::Is the information that you or your employees store on smartphones / tablets important to conducting your business?
Subquestion
Yes,0.801980198019802,81
No,0.19801980198019803,20

16.9 Please answer each of the following questions ...::Do you use a security product on your smartphones / tablets today to protect against malware and / or theft or loss?
Subquestion
Yes,0.7524752475247525,76
No,0.24752475247524752,25

16.10 Please answer each of the following questions...::Do you see any value in having a security product on your smartphones / tablets?
Subquestion
Yes,0.81,81
No,0.19,19

16.11 Please answer each of the following questions...::Do you feel you have a good understanding of how your employees use their smartphones / tablets for work?
Subquestion
Yes,0.8484848484848485,84
No,0.15151515151515152,15

17. Did your lost or stolen company-issued smartphone/tablet result in a breach or data theft?
Single
Yes,0.391304347826087,18
No,0.6086956521739131,28

"18. In general, where would you say you first learn about new products and services for your business? (rank from most to least important)"
Rank
"Direct from vendors – e.g., email, websites, trade shows, sales call from representative, etc.",1,625
Analysts like Forrester or Gartner,2,568
Business news media / review sites / blogs,3,546
"My internal team – e.g., my IT manager, financial manager, HR manager, etc.",4,512
"My external team – e.g., my accountant, attorney or local technology consultant / reseller",5,437
In a store,6,394
Online forum / discussion board,7,387
Other business owners / peers / colleagues,8,385
Social media site,9,346

"19. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to first learn about a product or service for your business via each of these specific sources / formats."
TopTwo
Analyst report,0.61,61
Audio podcast,0.4895833333333333,47
Banner ad on a website,0.46,46
Blog,0.57,57
Call from or meeting with sales representative,0.62,62
Case study,0.61,61
eBook / guide / handbook,0.52,52
Email newsletter,0.59,59
