,headcount_s.csv,2014-06-29T14:36:40-07:00
,p/rank,n
1. What is your title?
Single
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",1.0,226
Vice President or Director,0.0,0
Manager,0.0,0
Individual contributor,0.0,0

2. How many full-time employees does your company have?
Single
19-Jan,1.0,226
20-99,0.0,0
100-500,0.0,0
More than 500,0.0,0

3. What is your gender?
Single
Male,0.4732142857142857,106
Female,0.5267857142857143,118

4. What is your age?
Single
Under 18,0.0,0
18-34,0.07142857142857142,16
35-49,0.26339285714285715,59
50-64,0.47767857142857145,107
Over 64,0.1875,42

5. In which state is your company headquartered?
Single
Alabama,0.008849557522123894,2
Alaska,0.0,0
Arizona,0.02654867256637168,6
Arkansas,0.004424778761061947,1
California,0.12831858407079647,29
Colorado,0.01327433628318584,3
Connecticut,0.022123893805309734,5
Delaware,0.0,0
Florida,0.09734513274336283,22
Georgia,0.01327433628318584,3
Hawaii,0.004424778761061947,1
Idaho,0.017699115044247787,4
Illinois,0.05752212389380531,13
Indiana,0.022123893805309734,5
Iowa,0.004424778761061947,1
Kansas,0.01327433628318584,3
Kentucky,0.008849557522123894,2
Louisiana,0.008849557522123894,2
Maine,0.0,0
Maryland,0.0,0
Massachusetts,0.017699115044247787,4
Michigan,0.022123893805309734,5
Minnesota,0.004424778761061947,1
Mississippi,0.004424778761061947,1
Missouri,0.035398230088495575,8
Montana,0.004424778761061947,1
Nebraska,0.0,0
Nevada,0.0,0
New Hampshire,0.0,0
New Jersey,0.03982300884955752,9
New Mexico,0.008849557522123894,2
New York,0.07964601769911504,18
North Carolina,0.035398230088495575,8
North Dakota,0.0,0
Ohio,0.04424778761061947,10
Oklahoma,0.008849557522123894,2
Oregon,0.035398230088495575,8
Pennsylvania,0.05309734513274336,12
Rhode Island,0.0,0
South Carolina,0.0,0
South Dakota,0.0,0
Tennessee,0.017699115044247787,4
Texas,0.084070796460177,19
Utah,0.004424778761061947,1
Vermont,0.0,0
Virginia,0.01327433628318584,3
Washington,0.017699115044247787,4
West Virginia,0.004424778761061947,1
Wisconsin,0.004424778761061947,1
Wyoming,0.004424778761061947,1
District of Columbia,0.004424778761061947,1

6. Which best describes your industry?
Single
Accommodation & food service,0.01834862385321101,4
"Administrative, support, waste management & remediation service",0.0,0
"Arts, entertainment & recreation",0.13761467889908258,30
Construction,0.08256880733944955,18
Educational services,0.027522935779816515,6
Finance & insurance,0.013761467889908258,3
Health care & social assistance,0.01834862385321101,4
Information technology,0.045871559633027525,10
"Local, state or federal government (any kind)",0.0,0
Management of companies & enterprises,0.009174311926605505,2
Manufacturing,0.013761467889908258,3
Mining,0.0,0
Other services (except public administration),0.1559633027522936,34
Professional services,0.19724770642201836,43
Scientific & technical services,0.013761467889908258,3
"Real estate, rental & leasing",0.06422018348623854,14
Retail trade,0.14220183486238533,31
Transportation & warehousing,0.009174311926605505,2
Utilities,0.013761467889908258,3
Wholesale trade,0.03669724770642202,8
Not currently working,0.0,0

7. How long has your company been in business?
Single
Less than one year,0.02666666666666667,6
One to five years,0.24,54
Six to 10 years,0.19555555555555557,44
More than 10 years,0.5377777777777778,121

"8. What is your revenue outlook for 2014, compared to 2013?"
Single
Up by 10% or more,0.30973451327433627,70
"Up, by less than 10%",0.1504424778761062,34
Same as 2013,0.3805309734513274,86
"Down, by less than 10%",0.06637168141592921,15
Down by more than 10%,0.09292035398230089,21

"9. Roughly what percent of your work time do you spend conducting business via a smartphone (e.g., an iPhone or Samsung Galaxy) and/or tablet (e.g., an iPad)?"
Single
None,0.4222222222222222,95
Up to 25%,0.4488888888888889,101
25% to 49%,0.07555555555555556,17
50% to 74%,0.035555555555555556,8
75% to 99%,0.008888888888888889,2
100% - I only do business on my smartphone and/or tablet,0.008888888888888889,2

10. Which of the following transactions does your business handle on smartphones and/or tablets? (select all that apply)
Single
Returns / exchanges,0.025889967637540454,8
Capture customer contact information,0.20711974110032363,64
Email receipts,0.19093851132686085,59
Check inventory availability,0.0970873786407767,30
None of the above,0.3818770226537217,118
I don’t know,0.003236245954692557,1
Other (please describe),0.09385113268608414,29

"11. On a scale of 1 (not at all important) to 5 (very important), please rate each of these items:"
TopTwo
Smartphones and tablets for my business,0.37777777777777777,85
Virus and malware protection for my business,0.6367713004484304,142
Virus and malware protection for my smartphones and/or tablets,0.47085201793721976,105
Keeping data safe on smartphones and tablets,0.5178571428571429,116
Preventing smartphones and tablets from being lost or stolen,0.5739910313901345,128
Restricting employees' personal use of business smartphones and tablets,0.19196428571428573,43
Making my team more productive and saving costs by using more smartphones and tablets,0.3008849557522124,68
The information security policies of a vendor (such as a CPA or payroll service provider) as a factor in choosing / working with that vendor,0.38288288288288286,85

12. Do you provide smartphones or tablets to employees or contractors?
Single
"Yes, for use during working hours only",0.07111111111111111,16
"Yes, for employees / contractors to take home (personal use permitted)",0.1111111111111111,25
No,0.8177777777777778,184

13. What kinds of smartphones / tablets do you provide to employees or contractors? (select all that apply)
Single
iOS,0.3191489361702128,15
Android,0.5106382978723404,24
Windows,0.1276595744680851,6
"Other (e.g., BlackBerry)",0.0425531914893617,2

"15. On average, how many total devices (i.e., desktop computer / workstation, laptop / portable PC, smartphone, tablet) does each of your employees typically use on a daily basis for work purposes?"
Single
None,0.18141592920353983,41
One,0.37610619469026546,85
Two,0.2831858407079646,64
Three,0.11946902654867257,27
Four,0.01327433628318584,3
Five or more,0.02654867256637168,6

16.1 Please answer each of the following questions yes or no:::Do you feel that small businesses are more prone / vulnerable to attack from cybercriminals than mid-sized or large businesses are?
Subquestion
Yes,0.24444444444444444,55
No,0.7555555555555555,170

16.2 Please answer each of the following questions ...::Does your company have a security policy regarding using smartphones / tablets for business purposes?
Subquestion
Yes,0.32,72
No,0.68,153

16.3 Please answer each of the following questions ...::Does your company have a plan to deal with a lost or stolen company-issued smartphone / tablet?
Subquestion
Yes,0.35874439461883406,80
No,0.6412556053811659,143

"16.4 Please answer each of the following questions ...::Have your employees ever lost a company-issued smartphone / tablet, or had one stolen?"
Subquestion
Yes,0.07555555555555556,17
No,0.9244444444444444,208

16.5 Please answer each of the following questions ...::Do you plan to use more tablets or “phablets” in the next year in your business?
Subquestion
Yes,0.27802690582959644,62
No,0.7219730941704036,161

16.6 Please answer each of the following questions ...::Do you or your employees keep customer information on smartphones / tablets?
Subquestion
Yes,0.34977578475336324,78
No,0.6502242152466368,145

16.7 Please answer each of the following questions ...::Do you believe that the use of smartphones / tablets in your company creates a security risk?
Subquestion
Yes,0.29333333333333333,66
No,0.7066666666666667,159

16.8 Please answer each of the following questions ...::Is the information that you or your employees store on smartphones / tablets important to conducting your business?
Subquestion
Yes,0.45089285714285715,101
No,0.5491071428571429,123

16.9 Please answer each of the following questions ...::Do you use a security product on your smartphones / tablets today to protect against malware and / or theft or loss?
Subquestion
Yes,0.3901345291479821,87
No,0.6098654708520179,136

16.10 Please answer each of the following questions...::Do you see any value in having a security product on your smartphones / tablets?
Subquestion
Yes,0.5688888888888889,128
No,0.4311111111111111,97

16.11 Please answer each of the following questions...::Do you feel you have a good understanding of how your employees use their smartphones / tablets for work?
Subquestion
Yes,0.6981981981981982,155
No,0.30180180180180183,67

17. Did your lost or stolen company-issued smartphone/tablet result in a breach or data theft?
Single
Yes,0.058823529411764705,1
No,0.9411764705882353,16

"18. In general, where would you say you first learn about new products and services for your business? (rank from most to least important)"
Rank
"Direct from vendors – e.g., email, websites, trade shows, sales call from representative, etc.",1,1375
Other business owners / peers / colleagues,2,1313
Business news media / review sites / blogs,3,1245
In a store,4,1165
"My internal team – e.g., my IT manager, financial manager, HR manager, etc.",5,943
Online forum / discussion board,6,870
"My external team – e.g., my accountant, attorney or local technology consultant / reseller",7,860
Social media site,8,655
Analysts like Forrester or Gartner,9,538

"19. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to first learn about a product or service for your business via each of these specific sources / formats."
TopTwo
